P_high_MPa,COP,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,superheat_K,m_CO2_kg_s,m_steam_kg_h,W_electric_kW,Q_evaporator_kW,x5,IHX_heat_kW,IHX_min_approach_K,gas_cooler_min_approach_K,pinch_location,valid,invalid_reason
13.0,1.3722329818189067,99.42424175077622,208.58342828032562,111.63830257696185,61.924148890230526,15.000000000000966,15.0,84.42424175077525,0.9039852744887477,164.77060596598983,87.44870702709605,36.923728324258754,0.7687725948816614,111.79238004706812,12.21406082618563,5.000000002146237,0.1605351170568562,True,
13.25,1.3833935559645807,99.22199110290563,210.70846648214763,111.40971069820444,62.32703768430321,15.000000000000966,15.0,84.22199110290467,0.877532777117939,164.77060596598983,86.74321163533914,37.59394894642784,0.7574787963504664,108.31960122009131,12.187719595298802,5.000000022458266,0.1605351170568562,True,
13.5,1.394261229635592,99.02767659273559,212.80337814499921,111.1900747121856,62.679890392733,15.000000000000966,15.0,84.02767659273462,0.85273773200919,164.77060596598983,86.06708516980245,38.23626908868767,0.7461628728772347,105.07080174899706,12.162398119450017,5.000000060555124,0.1605351170568562,True,
13.75,1.4048463474742785,98.84076173562539,214.86894676208652,110.97878980890493,62.98386054386839,15.000000000000966,15.0,83.84076173562443,0.8294516957467503,164.77060596598983,85.41859415141278,38.85233555615792,0.7348319797036954,102.02546159317703,12.138028073279543,5.000000110986662,0.1605351170568562,True,
14.0,1.415157470520464,98.66070877545576,216.90587169818565,110.77524953987557,63.240225695748336,15.000000000000966,15.0,83.6607087754548,0.8075441319399446,164.77060596598983,84.79621702867216,39.44359382276143,0.723493511484622,99.16551974368066,12.114540764419814,5.000000166935365,0.1605351170568562,True,
14.25,1.42520164978326,98.48697971396166,218.91477527260707,110.5788469940997,63.45036842755587,15.000000000000966,15.0,83.4869797139607,0.7868997612930444,164.77060596598983,84.19861148648629,40.011319087838075,0.7121550791930076,96.47501231528945,12.091867280138047,5.000000221325934,0.1605351170568562,True,
14.5,1.4349846663991996,98.31903772307112,220.8962089891309,110.38897640660116,63.61575430766402,15.000000000000966,15.0,83.31903772307015,0.7674163706699988,164.77060596598983,83.62458694497094,40.5566424022776,0.7008244839946727,93.93977354817689,12.06993868353004,5.000000267801113,0.1605351170568562,True,
14.75,1.4445112387785213,98.15634877124506,222.85066013740652,110.20503500851515,63.73791183694391,15.000000000000966,15.0,83.1563487712441,0.7490029828850304,164.77060596598983,83.07308159227061,41.08057248734292,0.6895096874166492,91.54718624230081,12.04868623727009,5.000000296441101,0.1605351170568562,True,
15.0,1.4537852044918989,97.9983835090062,224.77855831990985,110.02642516985219,63.81841807575307,15.000000000000966,15.0,82.99838350900524,0.7315783227527572,164.77060596598983,82.54314298235018,41.58401416676733,0.67821877826556,89.28597278168694,12.028041660845986,5.000000307978269,0.1605351170568562,True,
15.25,1.4628096807290292,97.84461935903516,226.6802819643791,109.85255677320856,63.85889148905051,15.000000000000966,15.0,82.8446193590342,0.7150695244851484,164.77060596598983,82.03391157501426,42.06778400373643,0.6669599364249366,87.14601919284993,12.007937414173398,5.000000287703017,0.1605351170568562,True,
15.5,1.4715872064337228,97.69454277628427,228.55616481260296,109.682849779391,63.86099109222948,15.000000000000966,15.0,82.6945427762833,0.6994110374332734,164.77060596598983,81.54460671808276,42.5326236178214,0.6557413939180612,85.11822632620893,11.98830700310674,5.000000243670172,0.1605351170568562,True,
15.75,1.4801198685776809,97.54765162438969,230.4065020466927,109.51673692423088,63.82641903075694,15.000000000000966,15.0,82.54765162438872,0.6845436957950959,164.77060596598983,81.07451467110825,42.97921106244718,0.6445713936859704,83.19438341918624,11.969085299841197,5.000000182433894,0.1605351170568562,True,
16.0,1.4884094144093156,97.40345761010644,232.2315577863743,109.35366648071698,63.75692287986527,15.000000000000966,15.0,82.40345761010548,0.6704139246609477,164.77060596598983,80.62297835412626,43.40817056358003,0.6334581466580423,81.36706022583905,11.950208870610538,5.000000091542518,0.1605351170568562,True,
16.25,1.496457351062488,97.261488710864,234.03156947504215,109.19310501307143,63.654294431823246,15.000000000000966,15.0,82.26148871086303,0.6569730600519824,164.77060596598983,80.18938856814044,43.82008086026662,0.6224097877865478,79.62951462140512,11.93161630220743,4.999999983543432,0.1605351170568562,True,
16.5,1.5042650335714103,97.12129152668376,235.80675492428253,109.034540045028,63.52036300001089,15.000000000000966,15.0,82.1212915266828,0.6441767647686061,164.77060596598983,79.77317648280187,44.215482341338245,0.61143433178841,77.97561316207066,11.913248518344233,4.999999849805761,0.1605351170568562,True,
