P_high_MPa,Q_sink_kW,COP,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,superheat_K,m_CO2_kg_s,m_steam_kg_h,W_electric_kW,Q_evaporator_kW,x5,IHX_heat_kW,IHX_min_approach_K,gas_cooler_min_approach_K,pinch_location,valid,invalid_reason
17.0,120.0,1.5839138152893977,55.49089024195439,232.21737484413603,84.28343146253633,59.615791344220725,4.547473508864641e-13,0.0,55.490890241953934,0.49426962178738715,167.73103256994833,75.76169791667279,48.02638697916089,0.5791720374933533,36.02398350299243,28.79254122058194,5.000000000010004,0.11371237458193979,True,
17.25,120.0,1.5917058927484218,55.394551626678265,233.91082833848532,84.13921519961804,59.21004979731049,4.547473508864641e-13,0.0,55.39455162667781,0.48664056589074056,167.73103256994833,75.39081217623328,48.378728432578384,0.5694389559286894,35.41570632277607,28.74466357293977,5.000000000019611,0.11371237458193979,True,
17.5,120.0,1.5990556688412334,55.29361292941496,235.57434666772076,83.98809791807912,58.79155693570874,4.547473508864641e-13,0.0,55.29361292941451,0.4793953979873533,167.73103256994833,75.04429166431636,48.707922918899456,0.5599577849812861,34.834493069866426,28.694484988664158,5.000000150206404,0.11371237458193979,True,
17.75,120.0,1.605972611277136,55.188300490007464,237.20879866582027,83.83041644550411,58.36287019252626,4.547473508864641e-13,0.0,55.18830049000701,0.4725108855725396,167.73103256994833,74.72107504035888,49.01497871165903,0.5507318896292277,34.27875815955,28.64211595549665,4.9999999160193624,0.11371237458193979,True,
18.0,120.0,1.6124674884680197,55.0788819666958,238.81509363939495,83.6665695356698,57.926336518227515,4.547473508864641e-13,0.0,55.07888196669535,0.4659650901351123,167.73103256994833,74.42010512349005,49.30090013268446,0.5417630975973453,33.74702426881242,28.58768756897399,4.999999999933493,0.11371237458193979,True,
18.25,120.0,1.6185522072103147,54.96565619207854,240.39416872866548,83.49700272526303,57.48409535162898,4.547473508864641e-13,0.0,54.965656192078086,0.4597373082854149,167.73103256994833,74.14033323449492,49.56668342722985,0.5330518011155301,33.2379126410881,28.53134653318449,4.999999977669233,0.11371237458193979,True,
18.5,120.0,1.6242396241105101,54.848943411465825,241.9469764724854,83.32219375541774,57.03808456690746,4.547473508864641e-13,0.0,54.84894341146537,0.45380802433455325,167.73103256994833,73.8807243824729,49.81331183665073,0.5245970870012392,32.75013486079179,28.473250343951918,4.999999989495052,0.11371237458193979,True,
18.75,120.0,1.6295433633117935,54.729075516668956,243.47447203908644,83.14263797720287,56.59004721260459,4.547473508864641e-13,0.0,54.7290755166685,0.448158865526785,167.73103256994833,73.6402618682811,50.041751225132955,0.516396873284585,32.28248516249206,28.41356246053391,5.000000000141483,0.11371237458193979,True,
19.0,120.0,1.6344776357317143,54.606387452806246,244.97760185063385,82.95883550393023,56.141539226002465,4.547473508864641e-13,0.0,54.60638745280579,0.4427725590475401,167.73103256994833,73.41795162971381,50.25294595177188,0.5084480521454906,31.833833726272193,28.352448051123986,4.999999998199257,0.11371237458193979,True,
19.25,120.0,1.6390570739541577,54.481209830853004,246.45729369400613,82.7712801596968,55.69393755839087,4.547473508864641e-13,0.0,54.48120983085255,0.43763288722070537,167.73103256994833,73.2128257806819,50.4478155083522,0.5007466278684546,31.40312061665302,28.290070328843797,5.000000000210093,0.11371237458193979,True,
